State	Percentage
AL	22.71557272
AK	25.94752187
AZ	23.61538462
AR	22.62697023
CA	24.78167424
CO	24.51913343
CT	20.85118538
DE	22.10767468
FL	21.28982977
GA	23.79723312
HI	23.83540373
ID	23.68766404
IL	24.01953186
IN	22.89477811
IA	22.47752248
KS	23.59029265
KY	22.67509955
LA	24.14418499
ME	19.90881459
MD	22.61270856
MA	23.05324715
MI	22.183345
MN	23.04597701
MS	23.51139843
MO	22.7165088
MT	22.23371251
NE	23.49971957
NV	23.07692308
NH	20.51671733
NJ	21.14476563
NM	23.73991935
NY	23.39148281
NC	22.96681848
ND	25.5850234
OH	22.15740902
OK	23.83305876
OR	23.00791557
PA	21.44119537
RI	23.31113225
SC	22.76785714
SD	22.88557214
TN	22.461786
TX	24.79960538
UT	28.3625731
VT	21.41706924
VA	23.58089844
WA	23.45396244
WV	21.44432194
WI	22.61904762
WY	23.63977486
